timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 11:42:32,GG,152,0.99,4218.3,0.99,4224.05,DOWN
2026-03-31 11:42:33,GG,153,0.99,4218.3,0.99,4225.05,DOWN
2026-03-31 11:42:35,GG,155,0.99,4218.3,0.99,4225.05,DOWN
2026-03-31 11:42:36,GG,156,0.99,4223.25,0.99,4221.1,DOWN
2026-03-31 11:42:37,GG,157,0.99,4218.3,0.99,4231.0,DOWN
2026-03-31 11:42:38,GG,158,0.99,4218.3,0.99,4236.81,DOWN
2026-03-31 11:42:40,GG,160,0.99,4218.3,0.99,4236.81,DOWN
2026-03-31 11:42:41,GG,161,0.99,4218.3,0.99,4236.81,DOWN
2026-03-31 11:42:42,GG,162,0.99,4218.3,0.99,4226.91,DOWN
2026-03-31 11:42:44,GG,164,0.99,4256.5,0.99,4226.91,DOWN
2026-03-31 11:42:45,GG,165,0.99,4256.5,0.99,4226.91,DOWN
2026-03-31 11:42:46,GG,166,0.99,4256.5,0.99,4241.76,DOWN
2026-03-31 11:42:47,GG,167,0.99,4256.5,0.99,4226.91,DOWN
2026-03-31 11:42:49,GG,169,0.99,3771.5,0.99,4901.91,DOWN
2026-03-31 11:42:50,GG,170,0.99,3771.5,0.99,4901.91,DOWN
2026-03-31 11:42:51,GG,171,0.99,3771.5,0.99,4901.91,DOWN
2026-03-31 11:42:52,GG,172,0.99,3771.5,0.99,4901.96,DOWN
2026-03-31 11:42:54,GG,174,0.99,3771.5,0.99,4697.56,DOWN
2026-03-31 11:42:55,GG,175,0.99,3776.45,0.99,4904.36,DOWN
2026-03-31 11:42:56,GG,176,0.99,3771.5,0.99,4923.7,DOWN
2026-03-31 11:42:58,GG,178,0.99,3771.5,0.99,4913.6,DOWN
2026-03-31 11:42:59,GG,179,0.99,3771.5,0.99,4913.6,DOWN
2026-03-31 11:43:00,GG,180,0.99,3771.5,0.99,4911.15,DOWN
2026-03-31 11:43:01,GG,181,0.99,3728.45,0.99,4769.05,DOWN
2026-03-31 11:43:03,GG,183,0.99,3685.3,0.99,4917.9,DOWN
2026-03-31 11:43:04,GG,184,0.99,3675.7,0.99,4908.3,DOWN
2026-03-31 11:43:05,GG,185,0.99,3675.7,0.99,4908.3,DOWN
2026-03-31 11:43:07,GG,187,0.99,3675.7,0.99,4529.25,DOWN
2026-03-31 11:43:08,GG,188,0.99,3675.7,0.99,4534.1,DOWN
2026-03-31 11:43:09,GG,189,0.99,3675.7,0.99,4543.65,DOWN
2026-03-31 11:43:10,GG,190,0.99,3675.7,0.99,4543.65,DOWN
2026-03-31 11:43:12,GG,192,0.99,3675.7,0.99,4543.65,DOWN
2026-03-31 11:43:13,GG,193,0.99,3675.7,0.99,4558.5,DOWN
2026-03-31 11:43:14,GG,194,0.99,3675.7,0.99,4558.5,DOWN
2026-03-31 11:43:15,GG,195,0.99,3675.7,0.99,4556.5,DOWN
2026-03-31 11:43:17,GG,197,0.99,3675.7,0.99,4546.6,DOWN
2026-03-31 11:43:18,GG,198,0.99,3675.7,0.99,4547.6,DOWN
2026-03-31 11:43:19,GG,199,0.99,3675.7,0.99,4542.65,DOWN
2026-03-31 11:43:20,GG,200,0.99,3675.7,0.99,4542.65,DOWN
2026-03-31 11:43:22,GG,202,0.99,3675.7,0.99,4734.75,DOWN
2026-03-31 11:43:23,GG,203,0.99,3675.7,0.99,4730.9,DOWN
2026-03-31 11:43:24,GG,204,0.99,3675.7,0.99,4512.88,DOWN
2026-03-31 11:43:26,GG,206,0.99,3680.65,0.99,4733.76,DOWN
2026-03-31 11:43:27,GG,207,0.99,3675.7,0.99,4733.94,DOWN
2026-03-31 11:43:28,GG,208,0.99,3675.7,0.99,4733.86,DOWN
2026-03-31 11:43:29,GG,209,0.99,3675.7,0.99,4619.06,DOWN
2026-03-31 11:43:31,GG,211,0.99,3675.7,0.99,4216.55,DOWN
2026-03-31 11:43:32,GG,212,0.99,3675.7,0.99,4233.85,DOWN
2026-03-31 11:43:33,GG,213,0.99,3675.7,0.99,4600.55,DOWN
2026-03-31 11:43:34,GG,214,0.99,3675.7,0.99,4516.9,DOWN
2026-03-31 11:43:36,GG,216,0.99,3675.7,0.99,4438.05,DOWN
2026-03-31 11:43:37,GG,217,0.99,3675.7,0.99,4898.4,DOWN
2026-03-31 11:43:38,GG,218,0.99,3675.7,0.99,4524.05,DOWN
2026-03-31 11:43:40,GG,220,0.99,3675.7,0.99,4528.8,DOWN
2026-03-31 11:43:41,GG,221,0.99,3675.7,0.99,4528.8,DOWN
2026-03-31 11:43:42,GG,222,0.99,3675.7,0.99,4528.8,DOWN
2026-03-31 11:43:43,GG,223,0.99,3675.7,0.99,4536.65,DOWN
2026-03-31 11:43:45,GG,225,0.99,3675.7,0.99,4546.5,DOWN
2026-03-31 11:43:46,GG,226,0.99,3865.7,0.99,4542.5,DOWN
2026-03-31 11:43:47,GG,227,0.99,3865.7,0.99,4542.5,DOWN
2026-03-31 11:43:48,GG,228,0.99,3865.7,0.99,4542.5,DOWN
2026-03-31 11:43:50,GG,230,0.99,3640.1,0.99,4316.9,DOWN
2026-03-31 11:43:51,GG,231,0.99,3640.1,0.99,4316.9,DOWN
2026-03-31 11:43:52,GG,232,0.99,3640.1,0.99,4316.9,DOWN
2026-03-31 11:43:54,GG,234,0.99,3640.1,0.99,4316.9,DOWN
2026-03-31 11:43:55,GG,235,0.99,3640.1,0.99,4316.9,DOWN
2026-03-31 11:43:56,GG,236,0.99,3640.1,0.99,4288.1,DOWN
2026-03-31 11:43:57,GG,237,0.99,4125.1,0.99,3803.1,DOWN
2026-03-31 11:43:59,GG,239,0.99,4153.9,0.99,3803.1,DOWN
2026-03-31 11:44:00,GG,240,0.99,3913.4,0.99,3168.6,DOWN
